Post,Score1,Score2,AverageScore,Equal,PositiveScore,,,
**** wins this thread over the pompous jerk who told her she doesn't get it.,-2,-1,-1.5,FALSE,TRUE,,,
... WTF IS THAAAAA ISSSSSSSSUE,-2,-1,-1.5,FALSE,TRUE,,Num of agreements:,195
........go away,-1,-2,-1.5,FALSE,TRUE,,Num of same degree:,244
"<p>""This code sucks.""</p>
",-1,-1,-1,TRUE,TRUE,,,
"<p><a href=""http://blogoscoped.com/archive/2008-01-24-n20.html"" rel=""noreferrer"">MapReduce Explained</a>.</p>

<p>It explains better than what I can. Does it help?</p>
",1,1,1,TRUE,TRUE,,,
"<p><a href=""http://murmurhash.googlepages.com/"" rel=""noreferrer"">Murmur Hash</a> is pretty nice.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p><code>decimal</code></p>

<p>You won't lose precision due to rounding.</p>
",0,0,0,TRUE,TRUE,,,
"<p><code>WM_SHOWWINDOW = 24</code></p>

<p>...not that it really helps.
It looks like the last bit of your code to be executed is <strong>line 81</strong>, I'd study that.</p>
",0,0,0,TRUE,TRUE,,,
"<p>A generic enough answer:</p>

<p>Most languages, on EOF, return that no data were read. You can re-try reading after an interval, and if the file has grown since, this time the operating system will return data.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>A simple answer, if you've identified that the error doesn't effect your code negatively is.</p>
<p>On error resume next.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Actually, I ended up solving this problem by upgrading to express 4 from express 3. Now it works fine. :)</p>
",0,2,1,FALSE,FALSE,,,
"<p>Add this in your css file:</p>

<pre><code>.owl-item {
  -webkit-backface-visibility: hidden;
  -webkit-transform: translateZ(0) scale(1.0, 1.0);
}
</code></pre>
",0,0,0,TRUE,TRUE,,,
"<p>All of this closure will cost you.  Make sure you test the speed implications especially in IE. You will find you are better off with a naming convention. There are still a lot of corporate web users out there that are forced to use IE6...</p>
",0,0,0,TRUE,TRUE,,,
"<p>Also, writing a simple http proxy for this purpose in C# is a trivial task.</p>
",0,0,0,TRUE,TRUE,,,
"<p>Any regular expression. :)</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Assuming you want a regex like this?</p>

<pre><code>&lt;([^=&lt;&gt;]+)=\\?""([^\\""]+)
</code></pre>

<p>Otherwise, please be less ambiguous about what you are actually trying to parse out. Thanks!</p>
",1,1,1,TRUE,TRUE,,,
"<p>AVOID. Really. Seems like you handle some important logic right in the event handler.</p>

<p>Move the logic out of the handler.</p>
",0,-1,-0.5,FALSE,FALSE,,,
"<p>Because in bash, 0 is true and everything other than 0 is false.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Because it introduces a constraint on the possible values.</p>
",0,0,0,TRUE,TRUE,,,
"<p>Best practice is to POST to a URL, process the info there and then redirect to a new URL, for example with a header(""Location: "") call. This way you also prevent a user from refreshing the page to resubmit your form.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Bro, we can't guess what you has typed in your code, please link it to us.
But if you have some issues with basic method of module, i think some  thing gone wrong with import</p>
",-1,-1,-1,TRUE,TRUE,,,
"<p>Can u explain the bigger picture? What are u trying to create?  ""unbelievably thorough tutorial for dummies out there?"" - for what?  i.e - ""C for Dummies"" , ""Painting for Dummies""?</p>
",-1,-1,-1,TRUE,TRUE,,,
"<p>Can you add the source code? It would be helpful.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Can't you just change the calling program to log the parameters it used to call the process, and the exit code?
This would be way easier than trying to dig into whoami.exe</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>check this this will give you an idea how to do this
check this..<a href=""http://www.tutorialspoint.com/java/lang/string_contains.htm"" rel=""nofollow"">http://www.tutorialspoint.com/java/lang/string_contains.htm</a></p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Clean your solution and rebuild worked for me (in Visual Studio, these are options you get when you right click in your solution explorer), the error is gone in my project.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Component One is pretty decent - a bit pricey, but decent.  We are using it for our current project developing an application for a state health department, and are happy with it so far.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Consider using another language because there is no way to do this in Javascript.</p>
",0,-1,-0.5,FALSE,FALSE,,,
"<p>Constants are used for values that are not intended to change in the first place. Don't assign them until you know what the value is going to be.</p>
",0,0,0,TRUE,TRUE,,,
"<p>Convert spinner as dialog with a list and implement a search with an adapter inside it</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Copy the table to a new one, then delete the column you don't want. Simple. </p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Could it be possible, you are trying to access a websocket? Maybe you can try to simulate with Postman to get more information?</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Could you please share your full code that you used in inline editor?</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Could you use the before_save callback instead?</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Default is not mandatory but always good to have it. The code is ideally but our life is not, no harm to put a protection there. It will also help you debugging if any unexpected thing happens.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>delete .gradle, .idea and gradle folder from the project and then invalidate cache and restart.
problem will be resolved.
Thanks :)</p>
",2,2,2,TRUE,TRUE,,,
"<p>Did you remember to include the assembly as well? E.g. like this:</p>

<pre><code>// system.web / compilation / assemblies
&lt;add assembly=""Microsoft.Web.Mvc""/&gt;
</code></pre>
",0,1,0.5,FALSE,FALSE,,,
"<p>Did you try this on container.jade ?</p>

<pre><code>div
    if block
        block
    else
        include default.jade
</code></pre>
",0,0,0,TRUE,TRUE,,,
"<p>Did You Try to add this:</p>
<pre><code>actNw.hasTransport(NetworkCapabilities.TRANSPORT_VPN) -&gt; true
</code></pre>
",1,1,1,TRUE,TRUE,,,
"<p>Do you keep the quantity of the item in the database? If you are happy, you can reach the result you want after a small query, but you need to tell us the details of the structure you have prepared.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Do you really have to stick to the pdfplumber?.
If not, I can suggest a better solution, use tabula instead.
Here is an answer to a similar question you can check out: <a href=""https://stackoverflow.com/a/53050405/2081218"">tabula</a></p>
",1,1,1,TRUE,TRUE,,,
"<p>Do you really need an if statement?</p>

<pre><code>n = (int?) reader[0];
</code></pre>
",0,1,0.5,FALSE,FALSE,,,
"<p>Don't add types or functions to the global namespace.</p>
",0,-1,-0.5,FALSE,FALSE,,,
"<p>Don't worry about it, I will just go with a simple color instead of a gradient. Can't be asked to waste my time with it.</p>
",0,-1,-0.5,FALSE,FALSE,,,
"<p>Drag&amp;Drop is not SO hard, really :) </p>

<p>Try reading this <a href=""http://www.beacosta.com/blog/?p=53"" rel=""nofollow noreferrer"">post</a> about Drag&amp;Drop. </p>
",0,2,1,FALSE,FALSE,,,
"<p>Easy: Make your program fullscreen.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>EOF is NOT a character, so there's no way to write an EOF. 
You've forgotten to close a quoted string.</p>
",0,-1,-0.5,FALSE,FALSE,,,
"<p>For example, with an http call to a web api you could use <strong>Promise</strong>, because you only need to do it once. Instead, you could use <strong>Observable</strong> to receive a notification every time a specific value changes.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Found it. getcwd().</p>
",0,0,0,TRUE,TRUE,,,
"<p>Good code is easy to understand, easy to maintain, and easy to add to. Ideally, it is also as efficient as possible without sacrificing other indicators.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Have a look at <a href=""https://stackoverflow.com/questions/122533/how-can-i-downgrade-the-format-of-a-subversion-repositiory"">these answers</a> to a similar problem.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Have you considered using the BLOB type?</p>

<p>Also, out of curiosity, if you don't control the size of the string, and neither does the user, who does?</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Have you tried setting the text's position to absolute?</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Hello your controller is ok.</p>
<p>To display your message in blade you need to do that :</p>
<pre><code>@if(Session::has('status'))
{{ (Session::get('status')) }}
@endif
</code></pre>
",1,1,1,TRUE,TRUE,,,
"<p>Here is more info about it. :) You're welcome.</p>
<p><a href=""https://css-tricks.com/position-sticky-and-table-headers/"" rel=""nofollow noreferrer"">https://css-tricks.com/position-sticky-and-table-headers/</a></p>
",2,2,2,TRUE,TRUE,,,
"<p>Here's some helpful info to get you started. <a href=""http://www.python.org/download/mac/"" rel=""nofollow noreferrer"">http://www.python.org/download/mac/</a></p>
",1,1,1,TRUE,TRUE,,,
"<p>Hey Mitch you are really close, try adding a ; after the first and second line. or add a space in the split command</p>
",1,1,1,TRUE,TRUE,,,
"<p>Hi Tareq please describe your error and kindly give a clear picture of the error that you are getting.</p>
",1,-1,0,FALSE,FALSE,,,
"<p>Hmm, works good for me. Maybe its the browser or the code before? Did you wrap it with other flex or layout attributs?</p>
",1,1,1,TRUE,TRUE,,,
"<p>How about the fact that it supports a standardized query language, XPath?  That's pretty useful for me.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>How can I detect the first launch of my application and run a View Controller just onc e(for example: ""Create your user profile and save it"")  ?
I am using Xcode 5.1/
I would appreciate any help or guidance.
Thanks,
Tudor</p>
",2,1,1.5,FALSE,TRUE,,,
"<p>How do you include this? There are two ways. If you you use #include ""something.h"" the file has to be at the same location where youre .cpp is. If you use #include  than the header has to be at a directory in visaul studio.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>How to begin with number one for Recordes that will add every new day in Mysql Database .
I need code or method for that.
Thanks </p>
",2,1,1.5,FALSE,TRUE,,,
"<p>I am author of <code>SpannableGrid</code> package. Thank you for using it, and for the feedback provided.</p>
<p>There was a bug in the package. I've added a fix for this. Please check if the version 0.1.4+ will work for you.</p>
",2,1,1.5,FALSE,TRUE,,,
"<p>I am new to python, and would like to know how I can create a camera from current view in maya with a simple python script. </p>
",0,0,0,TRUE,TRUE,,,
"<p>I am not sure about your goal here. You dont need to extend the Button for storing two values. You can always set the Datacontext of the Button with custom data object which contains this two values.  Can you explain more on your problem. </p>
",0,0,0,TRUE,TRUE,,,
"<p>I am not sure I understood your question, but would something like this help?
<a href=""https://regex101.com/r/V9TGoc/1"" rel=""nofollow noreferrer"">This regular expression</a></p>
",1,1,1,TRUE,TRUE,,,
"<p>I am not sure I understood your question, but would something like this help?
<a href=""https://regex101.com/r/V9TGoc/1"" rel=""nofollow noreferrer"">This regular expression</a></p>
",1,0,0.5,FALSE,FALSE,,,
"<p>I attempted to look at your code and I am getting a 404 page. If you update your link I am sure you'll have more success getting help.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>I believe that by marking the email body as text/plain would avoid javascript and/or html attacks (but I wouldn't trust outlook on following what the headers suggest).</p>
",0,0,0,TRUE,TRUE,,,
"<p>I believe that you want _.map.</p>

<p>It will return an object with the specified keys if you pass an array of strings as the second argument.</p>
",1,1,1,TRUE,TRUE,,,
"<p>I believe the SQL (for MySQL) would be: </p>

<pre><code>SELECT * 
FROM   entries 
WHERE  entry_id &gt;= @last_viewed_entry_id 
ORDER BY entry_id 
LIMIT 50
</code></pre>
",0,1,0.5,FALSE,FALSE,,,
"<p>I believe you need to have a prefix for @keyframes for the different layout engines, in example:</p>

<p>@-webkit-keyframes {}
@-moz-keyframes </p>

<p>etc, IE10 works because it supports the official spec</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>I can not believe. There is a very hidden option where I can not turn off the wifi when the phone is locked. Problem solved</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>I don't exactly know if it's what you mean but you can try to look for the next:
<a href=""https://stackoverflow.com/questions/36514426/android-getfiledir-vs-getdir"">Android getFileDir vs getDir</a></p>
",0,0,0,TRUE,TRUE,,,
"<p>I don't know the name, but the shortcuts are CTRL-period (.) and ALT-SHIFT-F10.  Handy to know :)</p>
",1,2,1.5,FALSE,TRUE,,,
"<p>I don't think that it would be a problem, just use them as image and you are done...</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>I fixed this issue with this code... `</p>
<hr />
<p>{<br />
<code>test: cssRegex, exclude: cssModuleRegex, use: getStyleLoaders({ importLoaders: 1, sourceMap: isEnvProduction &amp;&amp; shouldUseSourceMap, modules: true,</code><br />
}</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>I found another solution.
If you will wrap recyclerview in RelativeLayout, it will solve the problem easily.
Thanks.</p>
",2,1,1.5,FALSE,TRUE,,,
"<p>I found that one of my php didn't send the JSON string correctly!! It's working now in both ways - eval and json2.js Many thanks for your kind help! :)</p>
",2,2,2,TRUE,TRUE,,,
"<p>I found that one of my php didn't send the JSON string correctly!! It's working now in both ways - eval and json2.js Many thanks for your kind help! :)</p>
",2,2,2,TRUE,TRUE,,,
